transaction_id,src,trg,balance_before,balance_after
501,03493d85f9da3819f0de3e36f58a96077781a54e3d477b8a102a0da09cb1407a74,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,17119.833771529746,7119.833771529746
514,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,10317.887288469268,317.88728846926824
518,02f304f0ed1dd6ae7b8677025e40c9254b3b9d77a44718f21aa3e3322552af7562,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,15273.616765664143,5273.616765664143
524,02740c62f38896511eb98479036b06907fcac283f62d08b756a1e25fb55e3f6772,032e04b67641c00444af1d83145c0b63bac8316a6afb8fec0f87938295ed8bb129,12444.252782956444,2444.252782956444
531,025121975efae0bda4e0be1d83f3a892115b6cf5e14bee76178a8d70d22c7ef003,02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8,10720.977375168202,720.9773751682023
534,032700e0e1f40172847e79e47a044bbb01147d25721cffa274c65d9b2d8994dd21,032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,17723.203431155813,7723.203431155813
547,03817e6563dc36585b4510ff5fa50c0fe9a763ef14aa0bb8d10ead54c99c2da41d,0205823109f3d6e1ac5f3e5ab41ab88bf463ffa7b59a81d07d8b688fb737e11955,16510.68376897092,6510.683768970921
549,02cf3cc45d8fee5055c4ba5a58fe22ae973685fa2cb43e2c5b6454eaa1d08066a8,0251a08c8f96c02bac929be2fd91b6ae714b1b90fa29a11833d6f226ac9e5071ef,17473.62786814927,7473.6278681492695
572,028e64ab13ca77556ea41dd70dfdbb33e1d14031b4d6685363aa75f713abb22a91,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,14426.382524239747,4426.382524239747
604,03a383f3dfa9391490b4678751eb25da060f64394622e2d15a6392c642794d5716,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,16312.482470754461,6312.482470754461
618,037adcc69c3bc426516184dede4078dfa81a0d8131ae95b37d90e68edc89731f41,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,19812.80671364788,9812.806713647878
622,02510b96fb0f56fe304ea8e85c7929a8217da0e3d28d8139dd2b423d8928342177,03639804a62c8ec893c69076e905a70d4d5140b80ba2ef3b96b1449af8098eac07,12135.939919245131,2135.939919245131
623,031157d786ca2fb7b86f330366db3e0bb6925b336d285ed40705976eaa68ead610,021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643,17689.237719310026,7689.237719310026
627,03021c5f5f57322740e4ee6936452add19dc7ea7ccf90635f95119ab82a62ae268,026a0ccc1e8f306827043774132988fa44cba04f7b68277be63229d52eca02256e,18713.020356501413,8713.020356501413
633,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,02ecf26a0ffb82bd7574b5bfebd3adfb68ab135c0652da78647a4472b08486a395,17433.2158098059,7433.215809805901
637,03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b,030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,12171.575653906253,2171.575653906253
654,0319fec13dcb6df5b6a0cee49e85b4f6c48e5387d62d67858d6d46615b6e683f81,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,17195.683827189147,7195.6838271891465
661,02c5371591b640da03f9a645e2ddfa5620d8537388b03ddd524d36766c0f550db0,028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675,14428.786725860322,4428.786725860322
663,02059220fa2153fb6d7768d7d67c6b86f441f83b7046aea492f2018f7b800edfa9,02da65c851216c09066b2ece048af560dcf5524fc96bf6e22fc5d872c42740fa4c,17987.80324567837,7987.803245678369
705,021d7477153209bf1c81060483b4c2519bde173a18cbb3b7b94fb552b79e127323,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,13421.782553763283,3421.7825537632834
725,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02e7c42ae2952d7a71398e23535b53ffc60deb269acbc7c10307e6b797b91b1e79,18216.019947685745,8216.019947685745
727,02ccf167c482cbcd41c9a3ff3fe05504368db8911319d7851186b097a509d912c0,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,16839.621074406106,6839.621074406106
728,02fa8fd9ebd1b8f7d10a5c04d27d6d401366c610174e1be64e7aa7931f2b20c240,0384d130bfd760b6e9e1155963558367533552ef971563a72c6c5cb117af9db93d,18440.1224030974,8440.1224030974
745,02b9bc5bfb92b7eff2c0057c4ee77429daab6e290ad3ed8b8bf37c324188d2b92b,02911515d46e371eacb87dbd5f513b03ab23031d17c3668293a8cca5369072dbea,12719.110579521122,2719.1105795211224
746,031157d786ca2fb7b86f330366db3e0bb6925b336d285ed40705976eaa68ead610,0356c02ffe265f8ff38471e901785528d3da0668cd0a590ed67ee809d929c9bfd4,17581.58263852847,7581.582638528471
749,02df5ffe895c778e10f7742a6c5b8a0cefbe9465df58b92fadeb883752c8107c8f,02e2670a2c2661a9eea13b7cfdcdd7f552f591b9ee60e5678b7abe77b7f9516f96,13456.728513072965,3456.728513072965
