node,total_income,total_traffic,failed_traffic_ratio,opt_delta,income_diff
032d4baebebfdeab7a2ecef2fbe109cbef10de95f05aa54090fdb687789547dbf5,14.84,14,0.0,0.0,0.0
029a8741675c4c9078b577ddc4348d602d2fb45a12e6087b617925997a84f4c02e,14.84,14,0.35714285714285715,0.0,0.0
0276e09a267592e7451a939c932cf685f0754de382a3ca85d2fb3a864d4c365ad5,14.607000000000001,27,0.37037037037037035,0.0,0.0
026b105ac13212c48714c6be9b11577a9ce10f10e1c88a45ce217e6331209faf8b,14.4,9,1.0,0.0,0.0
03c436af41160a355fc1ed230a64f6a64bcbd2ae50f12171d1318f9782602be601,14.274,117,0.02564102564102564,0.72,20.248000000000005
0314ecd09f2c9887530ed99436a20dd62607fa0fa0a8d0e2f630cf27f86e91e5f9,14.0,2,1.0,0.0,0.0
03f38829a9b9131e3a0887ca21fd042f2d07bd7f151fffefcc3d1585f24c1b3e7e,14.0,2,0.0,0.0,0.0
031c9a7f2243a1aaa88ea00665760cf8e74a4614d9657316b992dc350d624b22d4,14.0,2,1.0,0.0,0.0
026ab14e3bff403919f6150ef1973e60a6ae855213da9943a83578202c980e2e66,14.0,2,1.0,0.0,0.0
02f3067188240c75beb36477db63771f66c976f7e5bdd6f6ace5508396aba24815,14.0,2,0.0,23.5,16.5
032c6b30d84a7fe254537ec1c00f18775fc6dd1d1de1e305b5a980a4c0d6a8e35d,13.780000000000001,13,0.07692307692307693,28.84,195.52
02c69a0b4cb468660348d6d457d9212563ad08fb94d424395da6796fb74a13f276,13.780000000000001,13,0.0,0.0,0.0
03ffbf7ef99f52555d40b3eee011dc6042541fa5f49629cbfb64f8c1730726b101,13.780000000000001,13,0.0,0.0,0.0
03deedbfee762a68a44d2587560507e513ac185908728aaf053ad4a3c096d8acb0,13.780000000000001,13,0.5384615384615384,0.0,0.0
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,13.780000000000001,13,0.0,0.0,0.0
02e7c42ae2952d7a71398e23535b53ffc60deb269acbc7c10307e6b797b91b1e79,13.780000000000001,13,0.0,29.38,47.099999999999994
0290fb6ecd5865f7a973e1d48ffbc2612f80f6a2defbd6a188928bd0492bc2847e,13.48,4,1.0,0.0,0.0
02b0172bb38617fa3afdb69664468b492d5a21062a4fa8b47284b0cc320e6e7420,13.026,21,0.09523809523809523,0.0,0.0
0388a2cd707ac944a2b0c8adbf67c4a313d24b6dc2ab2baba842f9a9eecf925131,12.879,81,0.0,0.73,7.567999999999998
034143d1a45cb9bcb912eab97facf4a971098385c4701753d6bc40e52192d0c04f,12.81,21,0.0,0.0,0.0
02f6725f9c1c40333b67faea92fd211c183050f28df32cac3f9d69685fe9665432,12.8,8,0.5,0.0,0.0
03012a23c769decc4fb40a92d5300692b576cb8dc887072580638b97911742554c,12.79,14,0.42857142857142855,0.0,0.0
02ae3c06f6db6a87ea874ef7ba86c87ab0041eabf6d8be0594582505b1fd5d7ee8,12.72,12,0.0,6.39,17.079999999999995
0320e5b9f19a1c4dc22ebb751d757eaa5843262cd55a0f1b0d13cb5d445c5c78ae,12.72,12,0.0,29.32,17.659999999999997
0314dc1c496290a33f8fba3e78332418b1c136d9fb2a14d4a181e3cc9a653ee2f8,12.72,12,0.0,0.0,0.0
03f456e8c3479654da4498b64c1aa80656a33561d52f3444f5930f5c4a410a6fb6,12.72,12,0.25,0.0,0.0
026d9b9c8e55b435f117496e6a885fba7bf76530a5aa6f8f61304f84f9a31dda09,12.72,12,0.16666666666666666,149.56,439.14
039f01ad62e5208940faff11d0bbc997582eafad7642aaf53de6a5f6551ab73400,11.66,11,0.0,29.44,49.339999999999996
034cfb8dcb453372e8f13915cc770bcd7bb0f0809dd1b47c0c3b43b969ff9ff3b7,11.66,11,0.45454545454545453,28.38,194.42000000000002
026c7d28784791a4b31a64eb34d9ab01552055b795919165e6ae886de637632efb,11.66,11,0.0,0.0,0.0
03649c72a4816f0cd546f84aafbd657e92a30ab474de7ab795e8b5650a427611f7,11.200000000000001,7,0.42857142857142855,0.0,0.0
020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b,10.92,82,0.024390243902439025,600.94,2994.0800000000004
032271efcb35188ef00e3f28469a2bb18b50a5f2f325bd130bdac341af24e9b5f0,10.600000000000001,10,0.5,29.32,232.44
03a5886df676f3b3216a4520156157b8d653e262b520281d8d325c24fd8b456b9c,10.600000000000001,10,0.0,0.0,0.0
02f9c7deb297e32fc3d3d55f336176055cd667a2fada0bd5663e7413e1aba55b86,10.600000000000001,10,0.1,143.84,279.20000000000005
023f5e3582716bed96f6f26cfcd8037e07474d7b4743afdc8b07e692df63464d7e,10.600000000000001,10,0.1,0.0,0.0
03295d2e292565743a40bd44da227a820f8730877bc3dfadebade8785bcf355258,10.0,50,0.04,1.0,6.720000000000001
024a8228d764091fce2ed67e1a7404f83e38ea3c7cb42030a2789e73cf3b341365,9.799999999999999,7,1.0,0.0,0.0
024b82d69859d63f9fce375041a34e61f4bfd445494b41d873ae7505322323d384,9.600000000000001,6,0.5,0.0,0.0
024655b768ef40951b20053a5c4b951606d4d86085d51238f2c67c7dec29c792ca,9.600000000000001,6,0.6666666666666666,21.9,107.89999999999999
03e81a5b8af31bc00a1c1c08419d3272b4982db02feafd739904df2edfcbdf6f7e,9.600000000000001,6,0.6666666666666666,0.0,0.0
03487fa0212243e20cb6504d5b93a144d0bc4d83d3d8a083691037a8892f9e5522,9.540000000000001,9,0.5555555555555556,0.0,0.0
02740c62f38896511eb98479036b06907fcac283f62d08b756a1e25fb55e3f6772,9.540000000000001,9,0.0,0.0,0.0
031d244a60d61936834f290656cdf0ed4b9979260c19b07804bde681819f8e14ca,9.540000000000001,9,0.5555555555555556,0.0,0.0
021bbb8db00487ea8cc040533224f6bca1dae0b2aaf5489797eee16ebd2b6ad00b,9.540000000000001,9,0.0,22.88,86.21999999999998
021d9deaf090a021c6e464e3becc5296161e8aaf5de3c7a1d517838cd74525834f,9.540000000000001,9,0.3333333333333333,58.94,230.45999999999998
0212864d59d5a902634c4a3186615446e9d56c17b14600f3b74fbabe3509aa707f,9.540000000000001,9,0.0,0.0,0.0
03a76b80027d7c067e0da77da95880faaf89e9bf87b73a7d57bd4a3f2a124b764f,9.54,159,0.012578616352201259,58.82,167.10000000000002
03efccf2c383d7bf340da9a3f02e2c23104a0e4fe8ac1a880c8e2dc92fbdacd9df,9.196,4,0.0,148.44,443.02099999999996
0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,8.99,29,0.0,0.59,4.51
028b2c9ed9427b31db21ed75eac119b040cf3e9bdbfaa378cde8561cf1274b4228,8.675,8,0.0,27.34,133.51999999999998
03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b,8.58,143,0.013986013986013986,0.78,4.860000000000003
02a15d043069892b1f93bdf4bf0160447afd61f7f23548bf1c56d92fd9744281e6,8.48,8,0.0,29.44,22.02
02ab9dabbf646626d32863e9dc81560e48681d2a49e0da3fbb4b4df11a58cc0fd3,8.48,8,0.375,0.0,0.0
03ab2157b6b046ad0f499d3b6552acedadeda7a09c6c3542df52efc2ac8d756b0f,8.48,8,0.25,5.82,12.16
03beea9d33087a8419f87d8a9ce8cd8d9feecd910e0394f3d5302a3c9fd83059ff,8.48,8,0.0,1.06,6.360000000000001
0373ca948ffd4cbbd08488c480aa7c43b57e9446c8ac6d3fe1cc92392e39e9eb95,8.48,8,0.25,0.0,0.0
0370cf2693c16b5dc1632ae69e4751a0a88fa8f5705d53cb4c9cf805e5ef57aa45,8.48,8,0.0,0.0,0.0
02b414e4e29a685b8699152be47a0420fa3c8ab59629d2da2d6c0a95c582636350,8.48,8,0.5,0.0,0.0
02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c,8.48,8,0.125,29.44,52.519999999999996
0327e003e3c742db9a77f436e672bd42bd4a302ec0f92f0486c4fe09143bcfb0b9,8.48,8,0.375,0.0,0.0
