transaction_id,source,target,amount_SAT,success,path_length,routing_fee,route,failure_reason
3450,02f24b1e34fd87719377d6aa74864988e23d7b0c80dc6a631f7afd3979fb09949e,038df0bd2fad1bfe42d177f18ea5e33543e2b855ef369d06bd94b81d2c87187c82,10000,True,3.0,0.02,02f24b1e34fd87719377d6aa74864988e23d7b0c80dc6a631f7afd3979fb09949e|03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d|03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba|038df0bd2fad1bfe42d177f18ea5e33543e2b855ef369d06bd94b81d2c87187c82,
3451,02196eb3a56cd10494faaa60e53db68cf282a371e357546928a10c780a8d350a83,02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,10000,True,1.0,0.0,02196eb3a56cd10494faaa60e53db68cf282a371e357546928a10c780a8d350a83|02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,
3452,02e5cad08f3d62a4db973be8603e77826ff97aa10d1f4abac522563b0b3ee7adbd,02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,10000,False,,,,no_liquidity_feasible_path
3453,02b2012cb48304468627c689917397805b571f4e72d46dcc60d243a6382f6d787b,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,10000,False,,,,no_liquidity_feasible_path
3454,039f66421275c78cf09993ab26069f00323874433271a6939b25aa49e54ad0875c,027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,10000,True,3.0,1.02,039f66421275c78cf09993ab26069f00323874433271a6939b25aa49e54ad0875c|0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c|020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b|027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,
3455,03b99d5aed3eb17ec8e68e9111756aaba989c00d747f05b59fb4905f7b2ec34068,0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf,10000,True,3.0,0.02,03b99d5aed3eb17ec8e68e9111756aaba989c00d747f05b59fb4905f7b2ec34068|03295d2e292565743a40bd44da227a820f8730877bc3dfadebade8785bcf355258|03345d99a94e2fc8a69698f8bbec6bea5a4e8dbaf8b313085bb9710f6014765e45|0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf,
3456,03783fe0ad682e695e1d132df84222066d483599b5b49b879a7c6aeb66f57adb56,02e4cb39ddc085da7bf4b4c5c856f0410c813f2cfacbd36ac5c31f08122e9bb16b,10000,True,3.0,0.52,03783fe0ad682e695e1d132df84222066d483599b5b49b879a7c6aeb66f57adb56|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|029aee02904d4e419770b93c1b07aae2814a79032e23cafb4024cbea6fb71be106|02e4cb39ddc085da7bf4b4c5c856f0410c813f2cfacbd36ac5c31f08122e9bb16b,
3457,020de548b86e373e795e37343c9ef6f972d45ade479cc71ed5a9a7dac2588d0a37,02f302189b8c0028aa919e5441a5d7e80c82ebdff421219e34408acea58274a823,10000,True,4.0,1.12,020de548b86e373e795e37343c9ef6f972d45ade479cc71ed5a9a7dac2588d0a37|03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d|0360e94b6a5ba69e9349ea1077890b6384a4b9e6368e100316d85e22a534f552a8|03a46be38d068c2bc5af3fc13da840790ed5643f3d6d27e5e34d67ed2aec16ce67|02f302189b8c0028aa919e5441a5d7e80c82ebdff421219e34408acea58274a823,
3458,03aacba04332e1e8179a1b84a3d7631a468f15c38ec98ebdbaffe20f8cd75ffc0e,0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,10000,True,2.0,5.5,03aacba04332e1e8179a1b84a3d7631a468f15c38ec98ebdbaffe20f8cd75ffc0e|022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70|0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,
3459,02ca16a1dcf909619ce63af162f3277d000a42faa3ad6fb0eb842f7e5005fb256a,027a0eaffb8e103f9059d2d40b7c2d8993affc169168ca1808f752ee36ccf196ee,10000,True,2.0,0.997,02ca16a1dcf909619ce63af162f3277d000a42faa3ad6fb0eb842f7e5005fb256a|03a5927b64b1ea8657d5b770d61a3e2d0554fdb5d568773e0d6a92907913ca21f6|027a0eaffb8e103f9059d2d40b7c2d8993affc169168ca1808f752ee36ccf196ee,
3460,02d37a83a9cc83364cb92a4c0df3f76d353b7f4fb0b20ec06485e15c2c51fe7a4f,0212e500e63f4816dc11e402393c9b7192746b32028fe9258a199a252d3995392e,10000,True,3.0,0.787,02d37a83a9cc83364cb92a4c0df3f76d353b7f4fb0b20ec06485e15c2c51fe7a4f|03434a39cd9a537c852fc8fb72454086d726f9111e9f730cef4985c39c11fae944|03cb7983dc247f9f81a0fa2dfa3ce1c255365f7279c8dd143e086ca333df10e278|0212e500e63f4816dc11e402393c9b7192746b32028fe9258a199a252d3995392e,
3461,03e5a594f574f845409d474c105c5d233291f94d1fba4ee6a4de595c576bd2f4e1,03cac8425d15440dec66f7a86155f2f457301aa434a6abdb82af2252ef477e7eb0,10000,True,2.0,0.01,03e5a594f574f845409d474c105c5d233291f94d1fba4ee6a4de595c576bd2f4e1|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|03cac8425d15440dec66f7a86155f2f457301aa434a6abdb82af2252ef477e7eb0,
3462,03ba97b0e0b0a48a7743ff545b4d13626e06d85679741bf930dba16ddd5c7862b3,021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643,10000,False,,,,no_liquidity_feasible_path
3463,0217b5c4691c811b14a9221921edf585a5259963523049060eedee2fd81b5c171f,038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde,10000,True,4.0,1.419,0217b5c4691c811b14a9221921edf585a5259963523049060eedee2fd81b5c171f|023f5e3582716bed96f6f26cfcd8037e07474d7b4743afdc8b07e692df63464d7e|02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8|020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b|038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde,
3464,02b8cf6f5fce8561d9b8c5180b8e1113803ddf6560a24c28de8d2d7914ba035e6c,02f3067188240c75beb36477db63771f66c976f7e5bdd6f6ace5508396aba24815,10000,True,3.0,0.69,02b8cf6f5fce8561d9b8c5180b8e1113803ddf6560a24c28de8d2d7914ba035e6c|032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3|03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d|02f3067188240c75beb36477db63771f66c976f7e5bdd6f6ace5508396aba24815,
3465,03780bc0d405f8e9695a4474a03ed3314d761cfa3baf3ea8351c025d66399f969d,035234dc0dec3f740fa09cdde583945a8c07102326b3e17faee97e7ea176b09ec7,10000,True,2.0,0.01,03780bc0d405f8e9695a4474a03ed3314d761cfa3baf3ea8351c025d66399f969d|03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d|035234dc0dec3f740fa09cdde583945a8c07102326b3e17faee97e7ea176b09ec7,
3466,03146c97b276873c2228fe3595fb5dc315ad0fce6e34941058cb4d7b454d61a5bd,021d9deaf090a021c6e464e3becc5296161e8aaf5de3c7a1d517838cd74525834f,10000,True,2.0,5.5,03146c97b276873c2228fe3595fb5dc315ad0fce6e34941058cb4d7b454d61a5bd|028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49|021d9deaf090a021c6e464e3becc5296161e8aaf5de3c7a1d517838cd74525834f,
3467,028307fa4444f406a47d5a5e516c5057f7ff39685b992921a0c8943ff3010e6a95,02f3067188240c75beb36477db63771f66c976f7e5bdd6f6ace5508396aba24815,10000,False,,,,no_liquidity_feasible_path
3468,030c5bc7aec1c00f6ff6161822782a272e932b154e9e03771be6226da4af50ac08,0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf,10000,True,4.0,1.03,030c5bc7aec1c00f6ff6161822782a272e932b154e9e03771be6226da4af50ac08|031ac677972619e8e0a1b40593e01b04280dc4a18a7a9b5cb7c6e8e2673e31f644|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6|0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf,
3469,03b9eb68af140dee9fe5804ee26fd3ff15c144f6a151554d93316c29a77c20d33b,036b343eb46c5db996d3d1e2c6cc9742cbfa7e3b4146d4b4b0aef694b6d12960c8,10000,True,3.0,2.01,03b9eb68af140dee9fe5804ee26fd3ff15c144f6a151554d93316c29a77c20d33b|028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2|03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba|036b343eb46c5db996d3d1e2c6cc9742cbfa7e3b4146d4b4b0aef694b6d12960c8,
3470,026ff336104b904e4db3aa2f1dbc469abb9721de264038f22eac69cf7337336031,03f0140c67cc029404f2fd7b0ceb3605c1773f857eb1488634872bc21903ad5d3a,10000,False,,,,no_liquidity_feasible_path
3471,0375eeda96bc619994ebf36b7e7bfcf4c7f2b08111070724fa6c69571db8481525,03a5886df676f3b3216a4520156157b8d653e262b520281d8d325c24fd8b456b9c,10000,False,,,,no_liquidity_feasible_path
3472,03708ca2b640f817ea5d21e2c3dfd4c80fbbfcdc1ddb6b8fc50346b17766cc0eea,02c69a0b4cb468660348d6d457d9212563ad08fb94d424395da6796fb74a13f276,10000,True,3.0,0.052000000000000005,03708ca2b640f817ea5d21e2c3dfd4c80fbbfcdc1ddb6b8fc50346b17766cc0eea|03c4bb19c3a388d790968328b0f0d187a1a28597d3ad082200a47baadfdb6aee8d|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|02c69a0b4cb468660348d6d457d9212563ad08fb94d424395da6796fb74a13f276,
