u,v,channel_capacity_sat,unweighted_betweenness,fee_weighted_betweenness,baseline_usage,unweighted_betweenness_norm,fee_weighted_betweenness_norm,baseline_usage_norm,hybrid_score
02725e5abcbf5550fc29e6b19706a1377f25d2b1502684f9be9965b6deac167520,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,2000000,0.00014885079594274196,0.0006907765376805925,51,0.02655272896410716,0.0248478407190313,0.2947976878612717,0.1598227642901515
023216c5b9a54b6179645c76b279ae267f3c6b2379b9f305d57c75065006a8e5bd,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,2000000,4.625179891238135e-05,0.001438717215840659,46,0.008250620850527817,0.05175192593971226,0.2658959537572254,0.15882393984846882
023e8b9d0c52dc22d07f70a69624e2457df5760ca0b4d87a5df460b08863f46448,02c5371591b640da03f9a645e2ddfa5620d8537388b03ddd524d36766c0f550db0,600000,3.533913327876722e-05,0.006870391342645024,12,0.00630396647753579,0.24713403025044783,0.06936416184971098,0.15824909605007942
026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,1000000,0.0003137749924437374,0.005486034262704705,20,0.055972709297961824,0.19733748629700262,0.11560693641618497,0.15647221135659378
0384417e479afb21bff425f467382f9c064ac08bd422ea36542fa6799e026d77e6,03c436af41160a355fc1ed230a64f6a64bcbd2ae50f12171d1318f9782602be601,1250000,9.812013767043025e-05,0.005628539071347677,17,0.017503147396578322,0.20246350982806513,0.09826589595375723,0.1503647028909112
032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,3000000,0.0003150217074303158,0.0012180340204219619,44,0.056195104381068,0.04381375695160143,0.2543352601156069,0.14907450853360418
028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675,02c5371591b640da03f9a645e2ddfa5620d8537388b03ddd524d36766c0f550db0,100000,0.00024049944569843148,0.003868072823112462,26,0.04290146087028592,0.13913798769285055,0.15028901734104047,0.1447135025169455
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,03cb7983dc247f9f81a0fa2dfa3ce1c255365f7279c8dd143e086ca333df10e278,2000000,0.0005566519928207702,0.0031045598764213008,30,0.09929828993582043,0.11167375425203196,0.17341040462427745,0.14254207943815472
02e2670a2c2661a9eea13b7cfdcdd7f552f591b9ee60e5678b7abe77b7f9516f96,03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,2000000,1.7884024625178524e-05,0.0009263554961276048,42,0.003190239297359554,0.03332182342826065,0.24277456647398843,0.13804819495112453
021802799027508e8a8bf9a0ab96ea78a6a995926a0b1310561a74375a06e14de9,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,304105,0.0006794239526045909,0.007665192508200473,0,0.12119894926307082,0.27572372849256443,0.0,0.13786186424628222
