transaction_id,original_cost,length,path
67,,-1,[]
68,0.621,3,"[np.str_('027390e3f364bd13aacc707c2e4bced66f21b3bebec46cde0ea0502c4cca0a907b'), '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '0312c02755c6a3475f872be27e71fdb7703a61a25777401a26125e1c772c7e0f6a_trg']"
69,3.49,4,"[np.str_('027bdcfe79c7ecab414465137e234beea15a11b672753fe2dc6bd579868a3d7976'), '0290fb6ecd5865f7a973e1d48ffbc2612f80f6a2defbd6a188928bd0492bc2847e', '03295d2e292565743a40bd44da227a820f8730877bc3dfadebade8785bcf355258', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '039026382473c677f291d6a16b8b6b5af02813cc018336330fc3f34828f3d8d062_trg']"
70,31.56,3,"[np.str_('0290681a8483f53775eca26674e215890e06a42e389c1cd0f6e0e4f46e8583c48c'), '025537b1ae30299f02714199843650b58adf2ff59a013e40e56bb1330fefbe99df', '032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf', '038df0bd2fad1bfe42d177f18ea5e33543e2b855ef369d06bd94b81d2c87187c82_trg']"
71,1.06,2,"[np.str_('038b36a43c38f75cd15bb25394f1cd162f717df005585229182e62620db9d3f3ea'), '0314dc1c496290a33f8fba3e78332418b1c136d9fb2a14d4a181e3cc9a653ee2f8', '026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5_trg']"
72,3.24,5,"[np.str_('03a08d40fc3676e62a0bcaa27de657ce5e05b9a2491fbbf011a506a774e9ea263a'), '032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '02f9f2ef60e438960698992ba8ab9b6f09cf2a5077f261e5cd7ee5cdc154fffcb2', '022fbf66d0c695894bd5de86e35764f4890fcdf4ef577b3f8bc25efd55b4f220e3', '03f2a7d203afc06f6bdbbe1572abbe906fa76ff098412ffbf28b2a3863d50729b1_trg']"
73,1.06,2,"[np.str_('03d9c54d337d15c993b93ad6cae5a839e3e7c18f5ac210b8c7b7620b643a79943a'), '0374ecf61ed6c1208c42339f47decde2bc0c4393ac95f07827b3471e939d7eb961', '02a45def9ae014fdd2603dd7033d157faa3a55a72b06a63ae22ef46d9fafdc6e8d_trg']"
74,30.56,3,"[np.str_('03545c51d746aa26b502d1c0c41ebac5036c71a7033511f3808c79211ae11b956a'), '02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490', '02ccf167c482cbcd41c9a3ff3fe05504368db8911319d7851186b097a509d912c0', '02308c54b63e2c1375a52ce6ca27b171188f99e7c274eaf14be396289d93fb6003_trg']"
75,,-1,[]
76,30.56,3,"[np.str_('02e81795cb29fce0d39f57aecd09db334c6b74fe74319ddbbe9abe7c30cc1db1e9'), '02da8d5a759ee9e4438da617cfdb61c87f723fb76c4b6371b877d0347abe953a4f', '03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618', '03c63e8146aba2eda617489e08ae0fbe08d54e686c0f296d697c33cd67de4acc08_trg']"
77,0.56,2,"[np.str_('03ebdca33c36eb8bd9ee5f669b05dd070c632d03075857e07e53faf0ea67d254fd'), '02c12b5459cf107ee0440cae41902f1189db50fa003a077f3a6fbe6b5760218695', '021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643_trg']"
78,,-1,[]
79,0.12,3,"[np.str_('02b974116054be17576e6e8ed4110422e5a9d8775156fd829aa2eeb8aded87b290'), '0237fefbe8626bf888de0cad8c73630e32746a22a2c4faa91c1d9877a3826e1174', '03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b', '02f3067188240c75beb36477db63771f66c976f7e5bdd6f6ace5508396aba24815_trg']"
80,0.12,3,"[np.str_('0248d2094982c321ca98d2bb802c881b1dd04c5426de022aedff6844a149f672ae'), '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba', '0338dc6255ff4ae3452610f01a555d6f15c8a88b77bf46a240f8cf43b26826e422_trg']"
81,2.781,5,"[np.str_('02e01367e1d7818a7e9a0e8a52badd5c32615e07568dbe0497b6a47f9bef89d6af'), '034cfb8dcb453372e8f13915cc770bcd7bb0f0809dd1b47c0c3b43b969ff9ff3b7', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '033dd79123e7c386655f72d3eed186c071ef3b4a625d3fb9f613635e6483ff6823', '03f47ba61341a704b0910b6d1fc8a938bb97152e8df94dfc142816d2721b5d5c73', '0279a474446115c8ce1456dfe77544ec7618940f0ebe6013194b395d7311cc8c58_trg']"
82,1.12,3,"[np.str_('020de4c7b3fcca7eac8fe5ac0fb9c87400db5a931baec35251fe7c55f0d0f91773'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f', '02f302189b8c0028aa919e5441a5d7e80c82ebdff421219e34408acea58274a823_trg']"
83,1.06,2,"[np.str_('03c44a3fef1637aae26c96bbe932baf5094b6f48a060d8944bd32d4f67032cc027'), '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3_trg']"
84,0.121,3,"[np.str_('02282cfc83d4e4ac088a654184be62d7de0be6298e83af39431f9598c8c5631c09'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '023216c5b9a54b6179645c76b279ae267f3c6b2379b9f305d57c75065006a8e5bd', '0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3_trg']"
85,1.12,3,"[np.str_('023a5d8df324832580f0815708abefc0cba23f8e7cdb39b9f847fbe6603e68518f'), '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '02f3067188240c75beb36477db63771f66c976f7e5bdd6f6ace5508396aba24815_trg']"
86,,-1,[]
87,,-1,[]
88,0.06,2,"[np.str_('03c2d52cdcb5ddd40d62ba3c7197260b0f7b4dcc29ad64724c68426045919922f0'), '03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba', '038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde_trg']"
89,,-1,[]
90,2.9680000000000004,6,"[np.str_('036fc14cbad100a63ce4c058561d470e045318b6e9659484abcb3176ed7f0acbce'), '03f9ceb115a119594b4688ceed35feb80f33a3dd0f5cf688a7493c1a7217633931', '0384d130bfd760b6e9e1155963558367533552ef971563a72c6c5cb117af9db93d', '03cb7983dc247f9f81a0fa2dfa3ce1c255365f7279c8dd143e086ca333df10e278', '031d2bbc75802689312220a017c6b51fa246efc59c7aa9355f6f7395038ffb4d6a', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '039026382473c677f291d6a16b8b6b5af02813cc018336330fc3f34828f3d8d062_trg']"
91,,-1,[]
92,1.12,3,"[np.str_('02f9c7deb297e32fc3d3d55f336176055cd667a2fada0bd5663e7413e1aba55b86'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '0370cf2693c16b5dc1632ae69e4751a0a88fa8f5705d53cb4c9cf805e5ef57aa45', '028ff87c9ad3f2889f69bed50048e15b2df9174aa248bb757f7a2726577e3a7031_trg']"
93,3.049,3,"[np.str_('038bcc6471941c7d6c14a8ce5b7159d8f73a3a0bb9a93e8896bcb892e14552658a'), '021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643', '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469', '02271f8ad4c3375619689776f1de924550e0cc8a9012dd5baf8303d5e28db8c520_trg']"
94,0.541,2,"[np.str_('031b3971363f95a2c645c96da138f9eec0a82ec41108d8c1946775e8f0e6638339'), '0276e09a267592e7451a939c932cf685f0754de382a3ca85d2fb3a864d4c365ad5', '0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf_trg']"
95,,-1,[]
96,0.18,4,"[np.str_('034a0fa8e6d83688f3e19c2bcb93fb9d6f366d6c937dbc3c744cb21db6e093958b'), '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1_trg']"
97,0.06,2,"[np.str_('03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '02868e12f320073cad0c2959c42559fbcfd1aa326fcb943492ed7f02c9820aa399_trg']"
98,0.0,1,"[np.str_('03021c5f5f57322740e4ee6936452add19dc7ea7ccf90635f95119ab82a62ae268'), '0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf_trg']"
99,1.06,2,"[np.str_('03f78684b49e125d73c1801b3529f7d663f08ae7e1dd5db416fe69d9cb47b1c50f'), '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469', '03e24db0341fff731e24aeb0492e54510d1392d21d121a51e644ac5797300d495f_trg']"
100,,-1,[]
101,0.06,2,"[np.str_('036e6d0bda4e1a071b1e41208e8aa257ac9015285b08f4a080cd3ed57e3faac907'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '039f01ad62e5208940faff11d0bbc997582eafad7642aaf53de6a5f6551ab73400_trg']"
102,0.06,2,"[np.str_('031be0f6a76ec0425f4981be6e34717f9c3dfa402ac2ce949d114cbe54207463fa'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '02308c54b63e2c1375a52ce6ca27b171188f99e7c274eaf14be396289d93fb6003_trg']"
103,,-1,[]
