transaction_id,original_cost,length,path
2634,1.06,2,"[np.str_('023786620266d311ae77723727f7ba8a1f6f8641e61e70a01df8aeb6a7de6f2b51'), '037172d2110c4148d6ed0c2790ec8be948458022425dced6794fede834be92af36', '02a45def9ae014fdd2603dd7033d157faa3a55a72b06a63ae22ef46d9fafdc6e8d_trg']"
2635,1.607,3,"[np.str_('03f940d2281deac61fef400c1b477513db9421c06fd62ff7b53395a89faf7c795f'), '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '02b0172bb38617fa3afdb69664468b492d5a21062a4fa8b47284b0cc320e6e7420', '02b3877314aff657216ceac039244fe94e7116af10cfffac0232fefa5903c62a58_trg']"
2636,,-1,[]
2637,2.18,4,"[np.str_('02a8afa0aee7cae176f20a0a0843f68a0973bddb226c7e5cbbcf8298433684124a'), '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '03a76b80027d7c067e0da77da95880faaf89e9bf87b73a7d57bd4a3f2a124b764f', '0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266', '02241e1d480fcedaa1268574d530ef8ed5545bacdcd391e40ac58cbed30d001d40_trg']"
2638,1.06,3,"[np.str_('02b80cabdf82638aac86948e4c06e82064f547768dcef977677b9ea931ea75bab5'), '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469', '03842a085b8b89da9db708b83aae8e9baff7a0a6f34368a439aa8d2ca3e408a662', '028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675_trg']"
2639,0.181,4,"[np.str_('03345d99a94e2fc8a69698f8bbec6bea5a4e8dbaf8b313085bb9710f6014765e45'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '023216c5b9a54b6179645c76b279ae267f3c6b2379b9f305d57c75065006a8e5bd', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '036b343eb46c5db996d3d1e2c6cc9742cbfa7e3b4146d4b4b0aef694b6d12960c8_trg']"
2640,,-1,[]
2641,1.06,3,"[np.str_('028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675'), '03842a085b8b89da9db708b83aae8e9baff7a0a6f34368a439aa8d2ca3e408a662', '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469', '03ed88bb37c8c53c509d9a355e5a103614ebd30c98b7895ea4ccaddee262db190d_trg']"
2642,,-1,[]
2643,1.219,3,"[np.str_('03d9c54d337d15c993b93ad6cae5a839e3e7c18f5ac210b8c7b7620b643a79943a'), '0374ecf61ed6c1208c42339f47decde2bc0c4393ac95f07827b3471e939d7eb961', '0388a2cd707ac944a2b0c8adbf67c4a313d24b6dc2ab2baba842f9a9eecf925131', '02308c54b63e2c1375a52ce6ca27b171188f99e7c274eaf14be396289d93fb6003_trg']"
2644,1.22,3,"[np.str_('02626318f968469fb1dcd0453536bbabaab8861be75d8cde7900e57aab1bd4f3ac'), '0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266', '02e9046555a9665145b0dbd7f135744598418df7d61d3660659641886ef1274844', '027a0eaffb8e103f9059d2d40b7c2d8993affc169168ca1808f752ee36ccf196ee_trg']"
2645,1.06,2,"[np.str_('0213028043ba544713750c363067b6b13fcd3a6eeb68d60ce84aec1827e5b284cf'), '02690881543d633f3a16c8ff97397f3f2e8765a15f5ac057d701243e5adb7ba856', '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469_trg']"
2646,1.06,2,"[np.str_('036f709187264df770bd453270a95b579595a42cd89eab2ea437dfd537048a7250'), '02690881543d633f3a16c8ff97397f3f2e8765a15f5ac057d701243e5adb7ba856', '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469_trg']"
2647,,-1,[]
2648,1.12,3,"[np.str_('02d6d517dd1355c7890a29b13cbf8d8177b060606ff98db63f4bda401fff6b95eb'), '0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3', '03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba', '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469_trg']"
2649,5.359999999999999,7,"[np.str_('028717084338dfbc3575478a4ca076e2d3f1463e2dd3a0e75d209303ac1a1b3eb1'), '0225313f6c76ba1fff4bb1d67e6333eb6b514dc7af60346f585cc7dd9ed7cc13f4', '02cf3cc45d8fee5055c4ba5a58fe22ae973685fa2cb43e2c5b6454eaa1d08066a8', '0251a08c8f96c02bac929be2fd91b6ae714b1b90fa29a11833d6f226ac9e5071ef', '026d9b9c8e55b435f117496e6a885fba7bf76530a5aa6f8f61304f84f9a31dda09', '02da8d5a759ee9e4438da617cfdb61c87f723fb76c4b6371b877d0347abe953a4f', '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469', '030dff591fa1b0b4f9e31f4ef595624d6bf0e55a51bbb6949fe337de19c4033c1a_trg']"
2650,,-1,[]
2651,1.06,2,"[np.str_('032594696d3f25e16e189c796027df966e732577cdbf02cd4438d1a92d30ab0587'), '02308c54b63e2c1375a52ce6ca27b171188f99e7c274eaf14be396289d93fb6003', '038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde_trg']"
2652,1.06,2,"[np.str_('0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf'), '0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3', '027be164a1ce7cca51a9fbfa2ce7d833dee7ee18827f4121e84e8132a2bd782418_trg']"
2653,1.06,2,"[np.str_('03f163a59b2929b4b515d9dfd558f15ce23e95eadc109de013e6f7080d24644be2'), '032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada', '02b115fafe49b45dc2210aa07f7d04f5555e3f61eaa4542d0ae5e1e47df28de915_trg']"
2654,,-1,[]
2655,,-1,[]
2656,1.22,3,"[np.str_('03db39d2f0bff36f69969807f54829e82073afb88f0fd2996e61d245a797169a28'), '027c3abc90a51617fb9cf5162c2fedfd9832c620ef82b54e413e9ce0f892dabb0d', '03434a39cd9a537c852fc8fb72454086d726f9111e9f730cef4985c39c11fae944', '021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643_trg']"
2657,,-1,[]
2658,1.8470000000000002,4,"[np.str_('02fdef31e3cb364ddfd727664193425da232ac2839ea4d910150ac6ee6541e6e08'), '0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '03cb7983dc247f9f81a0fa2dfa3ce1c255365f7279c8dd143e086ca333df10e278', '0232911dd093ce5df8d33ada59e569f75a664e78e9f70d952cb4d2a31079dc859d_trg']"
2659,,-1,[]
2660,,-1,[]
2661,,-1,[]
2662,,-1,[]
2664,,-1,[]
2665,,-1,[]
2666,,-1,[]
2667,,-1,[]
2668,,-1,[]
2669,2.18,4,"[np.str_('0343d0eb7ddcb294aca86dee374eb79da0638a0b7098048bc765361b297c161826'), '03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '024844abb8efc3262539fffb66cbb46282324894212a13bb5b4c7cae96744e5a97', '032e04b67641c00444af1d83145c0b63bac8316a6afb8fec0f87938295ed8bb129_trg']"
2670,0.12,3,"[np.str_('029a06f84c9bfddcf4dca173a4d1a540e6ce7f75cc7d1dde9fd5a70d80c504da07'), '03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '021d9deaf090a021c6e464e3becc5296161e8aaf5de3c7a1d517838cd74525834f_trg']"
2671,2.12,3,"[np.str_('03be0a28c386a4dbd43535e615e1b370995fa57fc8be4213a89420df8427a485a2'), '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '03ac2a5d7df493c67195067dfb38e7e250c89ecb4fe5c2d918fc31fd9a08695516', '028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675_trg']"
2672,0.0,1,"[np.str_('03b38f5fb693ae96fda9533c7ba45840c0afc4390544223a18dd676d858bfd5b15'), '0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf_trg']"
2673,1.06,2,"[np.str_('03f8ab9b7496be92ce370e0224661d5d2de80bca8f505d66f1226d0e6002007d2a'), '0237fefbe8626bf888de0cad8c73630e32746a22a2c4faa91c1d9877a3826e1174', '029707c0881747e9a359eddc62a50c71e7640f89aa8aa3992b8c809dc32ae675f9_trg']"
2674,1.28,4,"[np.str_('0374b3fd8c9d02d750c2563f6bbdb81fd72d97a3b5272a3df1072c713b6dbdb947'), '02c0b38022846c6b6f45b30031859ac7c5fb0c67ec8ed5cce8409c4b438c267ffe', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '02e9046555a9665145b0dbd7f135744598418df7d61d3660659641886ef1274844', '027a0eaffb8e103f9059d2d40b7c2d8993affc169168ca1808f752ee36ccf196ee_trg']"
2675,0.12,3,"[np.str_('02b57f86aa1b5abe288fbddb8c946cdc6ed17696152d5a22cfc045f90e713474ed'), '03f09c85dae5712b682d28bf2bf558102f3e5a6d27ba2a1daf8da49984c8ca53b7', '03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba', '0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf_trg']"
2676,,-1,[]
2677,0.06,2,"[np.str_('03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618'), '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3_trg']"
2678,1.12,3,"[np.str_('034b77fce14e12b549021c37573e46d3d4e564ba071785881c55585862bda86e48'), '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6', '02f9c7deb297e32fc3d3d55f336176055cd667a2fada0bd5663e7413e1aba55b86_trg']"
2679,7.06,3,"[np.str_('036d293ee276b354e153da13c60b7df632119c380d163eda73fdba944d2f9cd847'), '038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266_trg']"
2680,1.12,3,"[np.str_('02643b2c991d7f21b2abdb04c57d3b6cbc566ea3b41b9fde46c00a2f5aceeff0cb'), '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '0261f842bf519ee59abe37f874b48c7bcc31a51c8c0f12668edef3bb82143ac1ff_trg']"
2681,2.18,4,"[np.str_('030a400157099427f49f5001115bed4bdf82c7b98c904375ed0c7bd7ffd29273d7'), '02725e5abcbf5550fc29e6b19706a1377f25d2b1502684f9be9965b6deac167520', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '026d9b9c8e55b435f117496e6a885fba7bf76530a5aa6f8f61304f84f9a31dda09', '0381c2a71e0c45098bf50c54b569a89add7892c0bacd4023db568296d307e97568_trg']"
2682,1.12,3,"[np.str_('0371f45104e7da4d86eecffbb0288039438c74b1c38f69f4dda83180806b48af73'), '03deedbfee762a68a44d2587560507e513ac185908728aaf053ad4a3c096d8acb0', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3_trg']"
2683,1.727,5,"[np.str_('03277a99c297a53859b42a9bb8cb2c5c17b9eaa44509bae150e2ea35ca5aa29bd9'), '0234c548106512a0b93b2555d2638bc2fed3e6b091f75298383356258996230d92', '02b0172bb38617fa3afdb69664468b492d5a21062a4fa8b47284b0cc320e6e7420', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '03345d99a94e2fc8a69698f8bbec6bea5a4e8dbaf8b313085bb9710f6014765e45', '038df0bd2fad1bfe42d177f18ea5e33543e2b855ef369d06bd94b81d2c87187c82_trg']"
2684,,-1,[]
2685,1.06,2,"[np.str_('03034a29772120aff685d25e8d58dc7244cf094ceb67549b75e84b2009cec8fceb'), '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49_trg']"
2686,,-1,[]
2687,,-1,[]
2688,,-1,[]
2689,0.159,2,"[np.str_('0312c02755c6a3475f872be27e71fdb7703a61a25777401a26125e1c772c7e0f6a'), '0388a2cd707ac944a2b0c8adbf67c4a313d24b6dc2ab2baba842f9a9eecf925131', '02f3067188240c75beb36477db63771f66c976f7e5bdd6f6ace5508396aba24815_trg']"
2690,,-1,[]
2691,,-1,[]
2692,1.721,4,"[np.str_('02eae56f155bae8a8eaab82ddc6fef04d5a79a6b0b0d7bcdd0b60d52f3015af031'), '03f47ba61341a704b0910b6d1fc8a938bb97152e8df94dfc142816d2721b5d5c73', '0332052748755d74b3395b91eaea78b53bd64b55eb031ccb6a7ae23ac445bb6af7', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '02ee8c40b64c2bd14bba4a7a7a80b06065f3a683b2f02b9580be5e8bffe201beda_trg']"
2693,,-1,[]
2694,,-1,[]
2695,,-1,[]
2696,0.061,2,"[np.str_('03eb7d6ac77723c3bf2579dd2ea30fa9ce46b69466b6002e5f1c3b506756c929e9'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5_trg']"
2697,1.1800000000000002,4,"[np.str_('027ba5217fecd12ebb621e51b88b8c9640cce659bd894f4c8e820e09173826fca2'), '0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266', '0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6', '03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b', '02f3067188240c75beb36477db63771f66c976f7e5bdd6f6ace5508396aba24815_trg']"
2698,,-1,[]
2699,,-1,[]
2700,2.18,4,"[np.str_('03465f79f840a1169e2b4cb42d684e1723af861b8a82336aa72f9766643a6ef4e4'), '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '03a76b80027d7c067e0da77da95880faaf89e9bf87b73a7d57bd4a3f2a124b764f', '0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266', '0271cb8f1171847877e070e44f2137b95ab0056ed72dfe345bb1409cdee5de997d_trg']"
2701,,-1,[]
2702,60.0,2,"[np.str_('02db60f941197c87684bba51037f1c3c4a8521631884f6deede9361ae1e62997bb'), '0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4', '032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3_trg']"
2703,,-1,[]
2704,1.181,4,"[np.str_('02aded61d1e1dcf34bef2afcd3fc9bb7dd644c66f0647ac392015f722157fef7ee'), '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '023216c5b9a54b6179645c76b279ae267f3c6b2379b9f305d57c75065006a8e5bd', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '032e000d7927b0d78f7ce4285b7c8e4db97300fb55f2833173d7c28289abbed5bf_trg']"
2705,31.56,3,"[np.str_('03ca0d8ffa217f86a5787b9a9d1310998b6b8c4ec60d3cd1c785fe96c42dfd7fdd'), '039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1', '0219c2f8818bd2124dcc41827b726fd486c13cdfb6edf4e1458194663fb07891c7', '0396948e401c19d1b2e25ca7996eaa6f57d885da9940349499a53e9ffac877de1b_trg']"
2706,1.3010000000000002,6,"[np.str_('03ec5fffc431569d10236093f1e7c99fc7240d48944d92ba967e1192b2913db299'), '026d9b9c8e55b435f117496e6a885fba7bf76530a5aa6f8f61304f84f9a31dda09', '02da8d5a759ee9e4438da617cfdb61c87f723fb76c4b6371b877d0347abe953a4f', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '023216c5b9a54b6179645c76b279ae267f3c6b2379b9f305d57c75065006a8e5bd', '03345d99a94e2fc8a69698f8bbec6bea5a4e8dbaf8b313085bb9710f6014765e45', '038df0bd2fad1bfe42d177f18ea5e33543e2b855ef369d06bd94b81d2c87187c82_trg']"
2707,0.121,3,"[np.str_('02182847e978b112c6e2e7e65bb6d5dc5811dd855078af4fc3b2fc9fd6fa653ba6'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '02da8d5a759ee9e4438da617cfdb61c87f723fb76c4b6371b877d0347abe953a4f', '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469_trg']"
2708,1.6800000000000002,4,"[np.str_('031567fdf33cb9b4ab081019199295ffce38218751842a403e9fcf48778e4c3022'), '02c12b5459cf107ee0440cae41902f1189db50fa003a077f3a6fbe6b5760218695', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '029d50d59c78b81a39f4ca40b6bc9b89710542a31429b69aa075b91b587979205d', '03079e7d60f18ccbe5dd3909590c08befb409b3a32e50d53ba7ccabfd3f49d35da_trg']"
2709,1.28,4,"[np.str_('024a2e265cd66066b78a788ae615acdc84b5b0dec9efac36d7ac87513015eaf6ed'), '030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f', '02c5371591b640da03f9a645e2ddfa5620d8537388b03ddd524d36766c0f550db0', '0388a2cd707ac944a2b0c8adbf67c4a313d24b6dc2ab2baba842f9a9eecf925131', '02308c54b63e2c1375a52ce6ca27b171188f99e7c274eaf14be396289d93fb6003_trg']"
2710,30.5,2,"[np.str_('020d0801b445d07d8981546010519e640403d406fac5636e23427a45240318aaf1'), '03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618', '0381c2a71e0c45098bf50c54b569a89add7892c0bacd4023db568296d307e97568_trg']"
2711,1.06,2,"[np.str_('031ad40e94278c0f90284831a4335cf59d17e5de12c249e7ecb3c2a4901fc435b1'), '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469', '0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf_trg']"
2712,0.0,1,"[np.str_('02c06fd756ce1f846acb18f94706d4117fb2e8e0790f3d81176dec3ace2ef91e53'), '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469_trg']"
2713,,-1,[]
2714,0.06,2,"[np.str_('02c6d11e7a402d50284ef53638bbd517a220ae682fd3ec6b6fddaacf6d1e81e0cf'), '03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba', '03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda_trg']"
2715,0.0,1,"[np.str_('038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde'), '026c7d28784791a4b31a64eb34d9ab01552055b795919165e6ae886de637632efb_trg']"
2716,,-1,[]
2717,,-1,[]
2718,2.3489999999999998,2,"[np.str_('034819ff9dec60250b173b8fc328b185d456b86fa6115995db83d65fba8c8e7628'), '02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8', '0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3_trg']"
2719,,-1,[]
2720,,-1,[]
2721,,-1,[]
2722,,-1,[]
2723,,-1,[]
2724,1.28,4,"[np.str_('0346acc2207efebf346acc4bb5fcbbe1018140e29f53289422b3b3d4b5cea16c45'), '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '02c5371591b640da03f9a645e2ddfa5620d8537388b03ddd524d36766c0f550db0', '0388a2cd707ac944a2b0c8adbf67c4a313d24b6dc2ab2baba842f9a9eecf925131', '02308c54b63e2c1375a52ce6ca27b171188f99e7c274eaf14be396289d93fb6003_trg']"
2725,31.421,4,"[np.str_('03be8dbb87bd9f23d44c6448a72c2b0ee36c6405d9b39f1ed7ca423b04cc4d2157'), '02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b', '02c5371591b640da03f9a645e2ddfa5620d8537388b03ddd524d36766c0f550db0', '03957c801187ade4aaeee6ca1e3f23eeb7413a84558ff1f3543cb41f5f86da609a', '023c1f3d0efc623da2829a41426b324245133f99840363435c2e98086de3494bb7_trg']"
2726,30.931,4,"[np.str_('032c291e3d3264535bba151ae1ba610b84ef0f008e2014f5a305cd88d06833dd1e'), '03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d', '03ee7c5f9e2092bbb09e8db799b069f991e6398f6c1e61cdd9a6ad8ecf83924a22', '026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5', '03fab7f8655169ea77d9691d4bd359e97782cb6177a6f76383994ed9c262af97a5_trg']"
2727,2.12,3,"[np.str_('03cf4b2e2d09408f448535906ef1241092afc0bb51d854766605d6241e63aafcad'), '0242290d02d2cd0d0edd3754541eda6c4b71e58df2c8fc88513c3d8190e8120a4b', '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '02c12b5459cf107ee0440cae41902f1189db50fa003a077f3a6fbe6b5760218695_trg']"
2728,0.121,3,"[np.str_('02ed9102fe81a117b19f0c1fe0586536a04c962838677dcdb762aeb9804d9f33c7'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '023216c5b9a54b6179645c76b279ae267f3c6b2379b9f305d57c75065006a8e5bd', '039f01ad62e5208940faff11d0bbc997582eafad7642aaf53de6a5f6551ab73400_trg']"
2729,,-1,[]
2730,,-1,[]
2731,1.12,3,"[np.str_('03bfb3df7555af554f70d83b723ab6fa80b59fe826f567d584696bde0be2c7d792'), '036a33e92cda2679ac91ac0467acb1ba33396c0df1119521653e0f269c275dd6bf', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5_trg']"
2732,,-1,[]
2733,0.37,2,"[np.str_('0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6'), '026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5', '03fab7f8655169ea77d9691d4bd359e97782cb6177a6f76383994ed9c262af97a5_trg']"
2734,0.6200000000000001,3,"[np.str_('02e68bac96db8f9db701cd314710a451dd29735e414099accce8ad5884b7979ed9'), '02c12b5459cf107ee0440cae41902f1189db50fa003a077f3a6fbe6b5760218695', '03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b', '0237fefbe8626bf888de0cad8c73630e32746a22a2c4faa91c1d9877a3826e1174_trg']"
2735,1.06,2,"[np.str_('0325b1fc186ffa68c0c9735991bd98275522c31124a373f152dbe77da359226c09'), '0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6', '03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b_trg']"
2736,30.5,2,"[np.str_('023b9c9e160f9299f591ab58ded3a615dca0f2f3d2c9765c31867293fa38714b03'), '030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5', '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469_trg']"
2737,61.56,3,"[np.str_('03e0114d95ad6e7bc8bb8602fc27d44105527252952ae2aac197883b661d7c8153'), '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019', '0335b0a4f94ea4b359932d75f7755e96aef79887e8f749c7d0a203345d186f4b52_trg']"
2738,0.121,3,"[np.str_('0320f39b4b8e840041a2366d3ee8a6dea6e5d2b2762e8d1f06c5fccdadf45af008'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '023216c5b9a54b6179645c76b279ae267f3c6b2379b9f305d57c75065006a8e5bd', '039f01ad62e5208940faff11d0bbc997582eafad7642aaf53de6a5f6551ab73400_trg']"
2739,,-1,[]
2740,,-1,[]
2741,1.12,3,"[np.str_('032271efcb35188ef00e3f28469a2bb18b50a5f2f325bd130bdac341af24e9b5f0'), '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada', '0358b16702a8562fd7ce4dcaf0df08e97e1665ceca15e2558663445b9c8a363224_trg']"
2742,2.18,4,"[np.str_('02dea7fffe2dcd8b1140f7e46e39427e4a774006095e5e50fb829a1d4ffefd7acc'), '02282cfc83d4e4ac088a654184be62d7de0be6298e83af39431f9598c8c5631c09', '0391489a933ab83094d1af43b3df3e8c8d467474649361912f05211d0e68a28fc9', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '0256812a1cb2539a5500f3c1c20db5ed7626e3878a552e3356c032c7bec2b3060e_trg']"
2743,31.56,3,"[np.str_('03e2eb0c8563dca19ac4798443edd583adf74ce0332fa7fc2cb64f507ec971289b'), '024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f', '03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e', '025054cd53f3fb15384679da8d6eb9afa1369c13b3836ff3a8b5e11bc4cccb4c47_trg']"
2744,,-1,[]
2745,0.181,4,"[np.str_('022a94ee8d3b1dd52066b33a46a8f1f7ed0d4a9dcf5b0f310ce52e94a392a79299'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '023216c5b9a54b6179645c76b279ae267f3c6b2379b9f305d57c75065006a8e5bd', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '030043d0a2cfb69d80867094eb030f8abde7a5dc36e1a0faece73e614cf779bde8_trg']"
2746,,-1,[]
2747,,-1,[]
2748,1.06,2,"[np.str_('020e8091a59f0983ea4adf0f3e0d575e15d9cee676e827eafd3946f65ae869fafc'), '023e8b9d0c52dc22d07f70a69624e2457df5760ca0b4d87a5df460b08863f46448', '038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde_trg']"
2749,,-1,[]
2750,,-1,[]
2751,,-1,[]
