rank,selector,u,v,channel_capacity_sat,unweighted_betweenness,fee_weighted_betweenness,baseline_usage,unweighted_betweenness_norm,fee_weighted_betweenness_norm,baseline_usage_norm,hybrid_score
11,baseline_usage,032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,3000000,0.0003150217074303158,0.0012180340204219619,44,0.056195104381068,0.04381375695160143,0.2543352601156069,0.14907450853360418
12,baseline_usage,02e2670a2c2661a9eea13b7cfdcdd7f552f591b9ee60e5678b7abe77b7f9516f96,03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,2000000,1.7884024625178524e-05,0.0009263554961276048,42,0.003190239297359554,0.03332182342826065,0.24277456647398843,0.13804819495112453
13,baseline_usage,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,03a76b80027d7c067e0da77da95880faaf89e9bf87b73a7d57bd4a3f2a124b764f,16777215,0.0001190040349694697,0.0026674716516055753,40,0.021228518572349205,0.09595130567719753,0.23121387283236994,0.16358258925478375
14,baseline_usage,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03c436af41160a355fc1ed230a64f6a64bcbd2ae50f12171d1318f9782602be601,550000,0.0004049470459095703,0.011858342689257034,39,0.07223642363987624,0.42655503518359644,0.2254335260115607,0.32599428059757857
15,baseline_usage,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b,321710,8.351379098440676e-05,0.004354740883832179,39,0.01489759623204874,0.1566438666510541,0.2254335260115607,0.19103869633130738
16,baseline_usage,02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,500002,0.00042394019103634054,0.0026490526205278494,39,0.0756245132468749,0.09528875689991141,0.2254335260115607,0.16036114145573604
17,baseline_usage,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,306943,0.005605856789482997,0.027800264235898667,38,1.0,1.0,0.21965317919075145,0.6098265895953757
18,baseline_usage,023216c5b9a54b6179645c76b279ae267f3c6b2379b9f305d57c75065006a8e5bd,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,8000000,8.372152963034932e-05,0.0031313649355551964,38,0.014934653662115863,0.11263795584761543,0.21965317919075145,0.16614556751918344
19,baseline_usage,02c5371591b640da03f9a645e2ddfa5620d8537388b03ddd524d36766c0f550db0,03345d99a94e2fc8a69698f8bbec6bea5a4e8dbaf8b313085bb9710f6014765e45,1000000,8.49370556296623e-06,0.005850710960110738,36,0.0015151485101975938,0.2104552284274937,0.20809248554913296,0.20927385698831333
20,baseline_usage,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6,1200000,0.00029611143910854656,0.003734136942389964,36,0.05282179874164348,0.13432019604936157,0.20809248554913296,0.17120634079924726
21,baseline_usage,0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,2500000,0.00028227872973816086,0.0036489492890398895,36,0.0503542527643119,0.13125592109761233,0.20809248554913296,0.16967420332337263
22,baseline_usage,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6,1000000,0.0003226699073307927,0.005225736633707749,34,0.057559427478801335,0.18797435122791822,0.19653179190751446,0.19225307156771634
