experiment_type,experiment_id,top_k,remove_pct,selected_channel_pairs,changed_raw_rows,removed_capacity_sat,total_transactions,successful_transactions,failed_transactions,success_rate_pct,failure_rate_pct,average_path_length,average_routing_fee,total_depletion_events,nodes_with_depletion_events,initial_active_directed_edges,final_active_directed_edges,runtime_seconds,successful_transactions_change_pct,failed_transactions_change_pct,success_rate_pct_change_pct,failure_rate_pct_change_pct,average_path_length_change_pct,average_routing_fee_change_pct,total_depletion_events_change_pct,nodes_with_depletion_events_change_pct
ebc_attack,ebc_top50_remove60,50.0,60.0,50,104,39613626.0,6998.0,4664.0,2334.0,66.64761360388682,33.352386396113175,2.808319039451115,1.272134755574614,680.0,208.0,32972.0,32767.0,8.881319599999188,-0.042863266180882986,0.08576329331046312,-0.04286326618087243,0.08576329331046333,0.4724477693521118,1.8545867317343456,2.255639097744361,3.482587064676617
ebc_attack,ebc_top100_remove60,100.0,60.0,100,218,187071438.0,6998.0,4664.0,2334.0,66.64761360388682,33.352386396113175,2.797813036020583,1.257064465408805,696.0,213.0,32975.0,32762.0,8.795901699999376,-0.042863266180882986,0.08576329331046312,-0.04286326618087243,0.08576329331046333,0.09657741199234177,0.6479707108769758,4.661654135338346,5.970149253731344
ebc_attack,ebc_top200_remove60,200.0,60.0,200,454,655247900.0,6998.0,4661.0,2337.0,66.60474421263218,33.395255787367816,2.8021883715940787,1.2851213258957306,687.0,224.0,32958.0,32772.0,8.696434699999372,-0.10715816545220745,0.2144082332761578,-0.10715816545219174,0.21440823327614764,0.25311257366946815,2.894367892750149,3.308270676691729,11.442786069651742
ebc_attack,ebc_top5_remove70,5.0,70.0,5,12,5546708.0,6998.0,4662.0,2336.0,66.61903400971707,33.38096599028294,2.794937794937795,1.2487569712569713,668.0,202.0,32984.0,32805.0,9.014824400001089,-0.08572653236176597,0.17152658662092624,-0.08572653236174486,0.17152658662092665,-0.006289287074430332,-0.017176106237633007,0.45112781954887216,0.4975124378109453
ebc_attack,ebc_top10_remove70,10.0,70.0,10,22,7744708.0,6998.0,4672.0,2326.0,66.76193198056588,33.238068019434124,2.779751712328767,1.2834158461757987,622.0,210.0,32987.0,32803.0,8.696391499999663,0.12858979854264896,-0.25728987993138935,0.12858979854265992,-0.25728987993138996,-0.5495975331542078,2.757817160768498,-6.466165413533835,4.477611940298507
ebc_attack,ebc_top20_remove70,20.0,70.0,20,44,17559240.0,6998.0,4661.0,2337.0,66.60474421263218,33.395255787367816,2.794250160909676,1.2707360723735965,640.0,207.0,32963.0,32786.0,8.685057799999413,-0.10715816545220745,0.2144082332761578,-0.10715816545219174,0.21440823327614764,-0.030890578097304527,1.7425999325497636,-3.7593984962406015,2.985074626865672
ebc_attack,ebc_top30_remove70,30.0,70.0,30,64,20979194.0,6998.0,4655.0,2343.0,66.51900543012289,33.480994569877105,2.8137486573576798,1.3085474042248477,657.0,204.0,32950.0,32751.0,9.040814600000886,-0.2357479639948564,0.4716981132075472,-0.23574796399485165,0.47169811320753763,0.6667016962960772,4.769997433175448,-1.2030075187969924,1.492537313432836
ebc_attack,ebc_top40_remove70,40.0,70.0,40,84,29975916.0,6998.0,4661.0,2337.0,66.60474421263218,33.395255787367816,2.8096974898090536,1.2682159407852391,678.0,203.0,32961.0,32761.0,8.9700701999991,-0.10715816545220745,0.2144082332761578,-0.10715816545219174,0.21440823327614764,0.5217642037190995,1.5408233830789582,1.9548872180451127,0.9950248756218906
ebc_attack,ebc_top50_remove70,50.0,70.0,50,104,46215898.0,6998.0,4664.0,2334.0,66.64761360388682,33.352386396113175,2.8134648370497426,1.2498893653516296,685.0,196.0,32961.0,32765.0,8.966256100000464,-0.042863266180882986,0.08576329331046312,-0.04286326618087243,0.08576329331046333,0.656547536222202,0.07349002172047552,3.007518796992481,-2.487562189054726
ebc_attack,ebc_top100_remove70,100.0,70.0,100,218,218250006.0,6998.0,4673.0,2325.0,66.77622177765076,33.223778222349246,2.8037663171410228,1.2674065197232327,706.0,205.0,32982.0,32772.0,8.97328910000033,0.15002143163309045,-0.30017152658662094,0.1500214316331068,-0.30017152658661095,0.30956629182650525,1.4760163747008341,6.165413533834586,1.9900497512437811
